SMILES,Name,Labels
CS(=O)(=O)N(CCCC(O)=O)c1cc(Cl)ccc1Cl,53926726,-5.76
OC(=O)C=Cc1cc(F)ccc1F,43446759,-5.66
CCOc1cc(Br)c(cc1OC)C(O)=O,858603,-5.26
OC(=O)Cc1cc(Br)ccn1,50261564,-5.01
OC(=O)C=Cc1ccc(F)c(F)c1,93459419,-5.85
Cl.CN(CC(O)=O)Cc1ccccc1,31412249,-5.62
OC(=O)c1ccc(Cl)c(Br)c1,523839,-5.26
CC(C)(C1CCOCC1)C(O)=O,40902556,-5.46
CC(CCC=C(C)C)CC(O)=O,496300,-5.27
COc1ncc(cc1Br)C(O)=O,36502429,-4.83
OC(=O)c1ccc2ncoc2c1,3791572,-5.61
CCCc1cc(sc1C)C(O)=O,2862140,-5.48
Cc1c(C(O)=O)c(=O)oc2ccccc12,28184433,-6.25
COc1ncc(s1)C(O)=O,37178145,-4.73
CCCc1cc(C(O)=O)n(C)n1,1370973,-5.03
OC(=O)CCCn1cnc2ccccc2c1=O,828502,-5.72
OC(=O)C1(CCCC1)c1ccc(Br)cc1,1262326,-6.31
CC(C)c1ccc(C)cc1C(O)=O,96613301,-5.84
Cc1cc(nn1C(C)(C)C)C(O)=O,5847877,-5.29
COc1ccccc1-c1nc(cs1)C(O)=O,25428520,-6.15
OC(=O)c1coc2c(F)cc(F)cc12,41409845,-6.07
OC(=O)CN1C(=O)CSc2ccccc12,918412,-5.97
OC(=O)Cc1cccc(Br)c1,486012,-5.49
COc1nccc(C(O)=O)c1C,44835132,-5.00
Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C,2794932,-7.51
CCCOc1c(OC)cccc1C(O)=O,14777562,-5.33
Cl.Cc1ncc(C(O)=O)n1C,49863052,-4.63
Cl.OC(=O)c1cc(=O)n2ccccc2n1,330922961,-5.93
OC(=O)CCOc1cccc(F)c1,1315003,-5.57
COC(=O)c1ccc(C(O)=O)c(F)c1,43451403,-5.69
OC(=O)c1cnc2c(cccc2c1)C(F)(F)F,42787038,-6.72
OB(O)c1ccc2cc(ccc2c1)C(O)=O,45488621,-6.53
OC(=O)c1nsc2ccc(Br)cc12,48575856,-5.67
OC(=O)COCCOCCOCC#C,104335678,-3.82
Cn1nc(c2cc(sc12)C(O)=O)C(F)(F)F,859013,-6.04
COc1ccc(cc1F)C(O)=O,501218,-5.21
OC(=O)c1ccnc2[nH]cnc12,7581042,-5.08
OC(=O)C1CCC(F)(F)C1,43677642,-5.33
OC(=O)c1ccc(cc1)N=C=S,719365,-5.45
Cc1ccc(cc1)S(=O)(=O)CC(O)=O,836190,-5.95
COc1cc(Br)c(Cl)cc1C(O)=O,44150130,-5.09
CCOc1ccc(CC(O)=O)cn1,36253567,-5.15
COc1cc(Br)cc(c1)C(O)=O,31206233,-5.11
OC(=O)c1ccc(CSc2nc3ccccc3s2)cc1,2129497,-6.80
COC(C)CC(O)=O,31415500,-4.04
Cn1nc(cc1C(O)=O)-c1ccccc1,727620,-6.10
Cc1c(F)c(cc(Cl)c1Cl)C(O)=O,324099448,-5.36
OC(=O)CC1CCc2ccccc12,7398579,-6.16
Cc1nc(ccc1F)C(O)=O,42766911,-5.17
OC(=O)c1nc2ccccn2c1Cl,17266158,-5.65
OC(=O)c1cc(Br)c2cc[nH]c2c1,2724072,-5.74
