SMILES,Name,Labels
O=S(=O)(c1ccccc1)n1cc(-c2ccc3c(c2)-c2ccccc2C32C3CC4CC(C3)CC2C4)c2ccccc21,345655113_521851,-9.20
O=S(=O)(c1ccccc1)n1cc(-c2ccc3c(c2)C2(c4ccccc4-3)C3CC4CC(C3)CC2C4)c2ccccc21,336521442_521851,-9.23
O=S(=O)(c1ccccc1)n1cc(-c2ccc3c(c2)-c2ccccc2C32C3CC4CC(C3)CC2C4)c2ccncc21,345655113_44456143,-9.16
O=S(=O)(c1ccccc1)n1cc(-c2ccc3c(c2)-c2ccccc2C32C3CC4CC(C3)CC2C4)c2ccccc21,345655113_45484320,-9.20
O=S(=O)(c1ccccc1)N1CCc2[nH]c3cc(-c4cn(S(=O)(=O)c5ccccc5)c5ccccc45)ccc3c2C1,85193805_521851,-9.07
Cc1ccc2nc(C3=C(N)N(c4cccc(-c5cn(S(=O)(=O)c6ccccc6)c6ccccc56)c4)CC3=O)[nH]c2c1,5672926_521851,-9.14
O=S(=O)(c1ccccc1)n1ccc2c(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)cccc21,345655113_29933641,-9.06
O=S(=O)(c1ccccc1)n1ccc2ccc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)cc21,345655113_45479725,-9.01
O=S(=O)(c1ccccc1)n1cc(-c2cccc3c(-c4ccc5ncccc5c4)n[nH]c23)c2ccccc21,50002286_521851,-9.23
O=S(=O)(c1ccccc1)n1ccc2ccc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)cc21,345655113_45486394,-9.01
Cc1ccc2nc(C3=C(N)N(c4ccc(-c5cn(S(=O)(=O)c6ccccc6)c6ccccc56)cc4)CC3=O)[nH]c2c1,11493543_521851,-9.05
NC1=C(c2nc3ccccc3[nH]2)C(=O)CN1c1ccc(-c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)cc1,2638850_521851,-9.21
O=S(=O)(c1ccccc1)n1cc(-c2cn(S(=O)(=O)c3ccccc3)c3cnccc23)c2ccccc21,29270066_521851,-8.95
O=S(=O)(c1ccccc1)n1ccc2cccc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)c21,345655113_45486334,-9.05
Cc1ccc(S(=O)(=O)n2cc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)c3ccccc32)cc1,345655113_45484067,-9.13
O=S(=O)(c1ccccc1)n1ccc2c(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)cccc21,345655113_45486332,-9.06
O=S(=O)(c1ccccc1)n1ccc2cc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)ccc21,345655113_45487713,-9.02
O=S(=O)(Nc1cccc(-c2ccc3c(c2)-c2ccccc2C32C3CC4CC(C3)CC2C4)c1)c1ccccc1,345655113_320296357,-9.06
Cc1ccc(S(=O)(=O)n2cc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)c3ccccc32)cc1,345655113_821463,-9.13
O=S(=O)(c1ccccc1)n1ccc2cc(-c3ccc4c(c3)-c3ccccc3C43C4CC5CC(C4)CC3C5)ccc21,345655113_45477956,-9.02
O=S(=O)(c1ccccc1)n1cc(-c2ccc3c(c2)-c2ccccc2C32C3CC4CC(C3)CC2C4)c2cccnc21,345655113_29806698,-9.16
NC1=C(c2nc3ccccc3s2)C(=O)CN1c1ccc(-c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)cc1,2638776_521851,-9.25
O=S(=O)(c1ccccc1)n1cc(-c2ccc(-c3csc(-c4ccccc4)n3)cc2)c2ccccc21,1072486_521851,-9.00
