SMILES,Name,Labels
OC1(c2ccc(-c3ccccc3CSc3ccc(F)cc3)cc2)CCC1,46106175_50157688,-8.09
OC1(c2ccc(-c3ccc(OCc4ccccc4)cc3)cc2)CCC1,516035_50157688,-8.01
OC1(c2ccc(-c3ccc4sc5ccc(Br)cc5c4c3)cc2)CCC1,1061960_50157688,-8.17
Cc1ccc(CCC(=O)c2ccc(-c3cccc(C4=CCCC4)c3)cc2F)cc1,24186342_337924564,-8.03
OC(Cc1ccccc1)c1ccc(-c2cccc(C3=CCCC3)c2)cc1,31707601_337924564,-8.15
Nc1sc2c(c1C(=O)c1ccc(-c3cccc(C4=CCCC4)c3)cc1)CCC2,49861780_337924564,-8.12
O=C(c1cc2cc(-c3cccc(C4=CCCC4)c3)ccc2o1)c1cccs1,1339197_337924564,-8.47
Nc1ccc(Oc2ccccc2-c2cccc(C3=CCCC3)c2)c(Cl)c1,32445995_337924564,-8.18
OC(c1cccc(-c2cccc(C3=CCCC3)c2)c1)C1CC1,40550926_337924564,-8.03
O=Cc1cc(-c2cccc(C3=CCCC3)c2)ccc1OCc1ccccc1,441183_337924564,-8.05
O=C(O)C(NS(=O)(=O)c1cccc(-c2cccc(C3=CCCC3)c2)c1)c1ccccc1,324018572_337924564,-8.3
CC1CCCCN1S(=O)(=O)c1ccc(-c2cccc(C3=CCCC3)c2)c(C(=O)O)c1,2863182_337924564,-8.2
O=C(O)c1cc(-c2ccccc2)cc(-c2cccc(C3=CCCC3)c2)c1,260773517_337924564,-8.24
O=C(c1cccc(CN2CCCCC2)c1)c1ccc(-c2cccc(C3=CCCC3)c2)cc1F,24184326_337924564,-8.4
S=C(Nc1cccc(-c2cccc(C3=CCCC3)c2)c1)c1ccccc1,7377274_337924564,-8.26
COc1ncc(-c2cccc(C3=CCCC3)c2)c2ccn(S(=O)(=O)c3ccc(C)cc3)c12,194343399_337924564,-8.26
Cc1nn(-c2ccccc2)c(Oc2ccc(-c3cccc(C4=CCCC4)c3)cc2)c1C=O,2856189_337924564,-8.17
O=C(c1ccc(C2OCCO2)cc1)c1ccc(-c2cccc(C3=CCCC3)c2)c(F)c1,24188342_337924564,-8.19
COc1ccc(C(=O)c2ccc(-c3cccc(C4=CCCC4)c3)cc2)cc1F,6247326_337924564,-8.05
C1=C(c2cccc(-c3ccc(OCc4ccccc4)cc3)c2)CCC1,516035_337924564,-8.08
Fc1ccc(-c2nc(Cl)c3cc(-c4cccc(C5=CCCC5)c4)ccc3n2)cc1,44456089_337924564,-8.34
Clc1ncnc2c1c(-c1cccc(C3=CCCC3)c1)cn2Cc1ccccc1,36788525_337924564,-8.02
COC(=O)C(Oc1ccc(-c2cccc(C3=CCCC3)c2)c(C(F)(F)F)c1)c1ccccc1,345706532_337924564,-8.13
Nc1ncc(-c2c(F)ccc(F)c2-c2cccc(C3=CCCC3)c2)s1,337786818_337924564,-8.22
O=C1Cc2c([nH]c3ccc(-c4cccc(C5=CCCC5)c4)cc23)-c2ncccc2N1,11016894_337924564,-8.5
CSc1ccc(CCC(=O)c2cccc(-c3cccc(C4=CCCC4)c3)c2)cc1,24186826_337924564,-8.05
C1=C(c2cccc(-c3ccc(-c4cnc5ccccc5n4)cc3)c2)CCC1,1054977_337924564,-8.15
Cc1nc(-c2ccc(F)cc2)sc1-c1nc(N)ncc1-c1cccc(C2=CCCC2)c1,50417807_337924564,-8.06
Nc1cc(-c2ccc(-c3cccc(C4=CCCC4)c3)cc2)nn1-c1ccc(Br)cc1,569612_337924564,-8.35
BrCc1cc(-c2cccc(C3=CCCC3)c2)c2ccccc2c1,44847564_337924564,-8.1
O=C(CCc1ccc(-c2cccc(C3=CCCC3)c2)cc1)c1ccc(F)c(F)c1,42775552_337924564,-8.12
Cc1ccc(S(=O)(=O)NN=Cc2ccc(-c3cccc(C4=CCCC4)c3)cc2)cc1,5376789_337924564,-8.01
Brc1ccc2c(c1)sc1cc(-c3cccc(C4=CCCC4)c3)ccc12,1239153_337924564,-8.12
O[C@H]1CC[C@@H](n2cc(-c3cccc(C4=CCCC4)c3)c3cnc(Cl)nc32)CC1,313075411_337924564,-8.09
Cc1ccc(-c2ccc(N)c(-c3cccc(C4=CCCC4)c3)c2)cc1,338098430_337924564,-8.17
Fc1ccc(F)c(OCc2ccc(-c3cccc(C4=CCCC4)c3)cc2)c1,6251603_337924564,-8.01
C1=C(c2cccc(-c3ccc(CN4c5ccccc5Sc5cccnc54)cc3)c2)CCC1,4870695_337924564,-8.46
CC1CCN(c2cc(-c3cccc(C4=CCCC4)c3)cc(C(F)(F)F)c2)CC1,50551421_337924564,-8.24
CN1C2C=C(c3sccc3-c3cccc(C4=CCCC4)c3)CC1CC2,313513819_337924564,-8.15
OC(c1ccccc1)c1c(F)ccc(-c2cccc(C3=CCCC3)c2)c1Cl,345707373_337924564,-8.23
OC(c1ccccc1)c1ccc(-c2cccc(C3=CCCC3)c2)cc1C(F)(F)F,370976400_337924564,-8.4
Cc1ccc(C(=O)c2ccc(-c3cccc(C4=CCCC4)c3)cc2)cc1F,6247334_337924564,-8.23
O=C1Cc2c([nH]c3ccc(-c4ccccc4OCc4ccc(F)cc4)cc23)-c2ncccc2N1,11016894_317687969,-8.69
CC(C)(C)c1ccccc1OCc1ccc(-c2cccc(C3=CCCC3)c2)cc1,345976163_337924564,-8.05
O=C1COc2ccc(-c3cccc(C4=CCCC4)c3)cc2CN1CCc1ccc(Cl)cc1,32945048_337924564,-8.0
O=C(CCc1cccc(Cl)c1)c1cccc(-c2cccc(C3=CCCC3)c2)c1,24186930_337924564,-8.23
Cc1ccc2ncc(-c3cccc(C4=CCCC4)c3)c(N3C(=O)CCC3=O)c2c1,44815981_337924564,-8.1
O=Cc1cc(-c2cccc(C3=CCCC3)c2)c(Sc2ccc(Cl)cc2)o1,1607665_337924564,-8.08
O=C(O)COc1ccc(C2CC(c3ccc(-c4cccc(C5=CCCC5)c4)cc3)=NN2)cc1,324743245_337924564,-8.04
O=C(c1cccc(-c2cccc(C3=CCCC3)c2)c1)c1ccccc1CN1CCSCC1,24185654_337924564,-8.37
Cc1ccc(CCC(=O)c2ccc(-c3ccccc3OCc3ccc(F)cc3)cc2F)cc1,24186342_317687969,-8.07
O=C(c1ccc(C2OCCO2)cc1)c1ccc(-c2ccccc2OCc2ccc(F)cc2)c(F)c1,24188342_317687969,-8.29
CC(C)(NCc1ccccc1)c1cccc(-c2cccc(C3=CCCC3)c2)c1,44815395_337924564,-8.26
OC(c1ccccc1)c1ccc(-c2ccccc2OCc2ccc(F)cc2)cc1C(F)(F)F,370976400_317687969,-8.34
Fc1ccc(SCc2ccccc2-c2cccc(C3=CCCC3)c2)cc1,46106175_337924564,-8.06
Fc1ccc(COc2ccccc2-c2ccc3[nH]c(C(F)(F)Br)nc3c2)cc1,317737878_317687969,-8.12
O=C(c1cc2cc(-c3ccccc3OCc3ccc(F)cc3)ccc2o1)c1cccs1,1339197_317687969,-8.55
OC(Cc1ccccc1)c1ccc(-c2ccccc2OCc2ccc(F)cc2)cc1,31707601_317687969,-8.16
O=Cc1cc(-c2cccc(C3=CCCC3)c2)c(-c2ccccc2)s1,311628810_337924564,-8.14
