SMILES,Name,Labels
COCCOc1cc(-c2ccc(C3CCC(C)(C)CC3)cc2)cnc1Cl,73205348_194340382,-6.62
CCCC[C@H]1CC[C@H](c2ccc(-c3cccc(SC4CCCCC4)c3)cc2)CC1,206905032_45493461,-8.00
C=C=CC(=O)c1ccccc1C#Cc1ccc(-c2cccc(SC3CCCCC3)c2)cc1,345287889_45493461,-7.91
CC(C)(C)OC(=O)N1CCC(Oc2cccc(-c3cccc(SC4CCCCC4)c3)c2)CC1,45482629_45493461,-7.84
FC(F)(F)COc1cc(-c2cccc(SC3CCCCC3)c2)ccn1,46022511_45493461,-7.25
CCCOc1cc(-c2cccc(SC3CCCCC3)c2)cc(SC)c1F,337867225_45493461,-7.27
COC(=O)C1CNc2ccc(-c3cccc(SC4CCCCC4)c3)cc21,317467750_45493461,-7.45
c1cc(CNC2CCSCC2)cc(-c2cccc(SC3CCCCC3)c2)c1,50501421_45493461,-7.63
CCOC(=O)c1sc(-c2cccc(-c3cccc(SC4CCCCC4)c3)c2)cc1N,31411876_45493461,-7.94
CC(C)(C)OC(=O)N1CCC(Oc2cccc(-c3c(O)cc(C(F)(F)F)cc3F)c2)CC1,45482629_324838275,-7.66
O=C(O)CCc1ccc(-c2cccc(SC3CCCCC3)c2)cc1,524216_45493461,-7.27
CC(C)n1ncc(-c2cccc(SC3CCCCC3)c2)c1C=O,96246711_45493461,-6.96
O=S(=O)(Cl)Cc1ccc(-c2cccc(SC3CCCCC3)c2)cc1F,31416791_45493461,-7.38
OCc1cc(Cl)ncc1-c1cccc(SC2CCCCC2)c1,36552870_45493461,-6.92
Cc1nc2oc(=O)[nH]c2cc1-c1cccc(SC2CCCCC2)c1,331091264_45493461,-7.56
CCOc1ccc(C(=O)OC)cc1-c1cccc(SC2CCCCC2)c1,36471887_45493461,-7.08
C[C@@H](NC(=O)C1CCCC1)c1ccc(-c2cccc(SC3CCCCC3)c2)cc1,345811866_45493461,-7.75
Cc1nc(-n2c(C)ccc2C)nc(Cl)c1-c1cccc(SC2CCCCC2)c1,44760225_45493461,-7.41
FC(F)(F)c1ccc(-c2cccc(SC3CCCCC3)c2)c2cccnc12,46304922_45493461,-7.98
OCc1cc2ccc(-c3cccc(SC4CCCCC4)c3)cc2s1,25585155_45493461,-7.90
CCOc1cc(-c2cccc(SC3CCCCC3)c2)ccc1OC(F)(F)F,44816059_45493461,-7.51
O=c1[nH]c(=O)c2scc(-c3cccc(SC4CCCCC4)c3)c2[nH]1,27511632_45493461,-7.62
CC(=O)OCc1c(Br)cccc1-c1cccc(SC2CCCCC2)c1,42855676_45493461,-7.00
Nc1ncc(-c2cccc(SC3CCCCC3)c2)c2cc[nH]c12,42781141_45493461,-7.59
CC(C)(C)C(=O)Nc1cc(F)ccc1-c1cccc(SC2CCCCC2)c1,44847830_45493461,-7.62
O=C(CCNc1ccc(-c2cccc(SC3CCCCC3)c2)cc1)c1ccc(Cl)cc1,570088_45493461,-7.47
Oc1ccc2ccc(F)c(-c3cccc(SC4CCCCC4)c3)c2n1,324280430_45493461,-7.91
NC(=S)Nc1ccc(-c2cccc(SC3CCCCC3)c2)cc1C(F)(F)F,45490222_45493461,-7.52
Oc1cc(C(F)(F)F)cc(F)c1-c1cccc(CNC2CCSCC2)c1,50501421_324838275,-7.05
CC(O)Cc1cc(F)cc(-c2cccc(SC3CCCCC3)c2)c1,41974562_45493461,-7.50
Cc1cc(OC(F)F)cc(C)c1-c1cccc(SC2CCCCC2)c1,108088297_45493461,-7.49
Clc1ncnc2c(-c3cccc(SC4CCCCC4)c3)csc12,15799561_45493461,-7.35
Clc1ccc(CNC2CC2)c(-c2cccc(SC3CCCCC3)c2)c1,49267666_45493461,-7.51
Brc1cc(-c2cccc(SC3CCCCC3)c2)ccc1OCC1CCCCO1,45487542_45493461,-7.43
CN1CCN(CCOc2ccc(-c3cccc(SC4CCCCC4)c3)cc2)CC1,36085310_45493461,-7.11
CN1CCN(Cc2ccccc2C(=O)c2ccc(-c3cccc(SC4CCCCC4)c3)c(F)c2)CC1,24185792_45493461,-8.14
