SMILES,Name,Labels
CSc1cc(SC)cc(-c2ccc(CO)cc2)c1,484676_329908706,-6.62
CCOc1cc(-c2cc(C)cc(Cl)c2F)ccc1C(=O)OCc1ccccc1,337728559_49275475,-7.50
CSc1cc(SC)cc(-c2cc(C#N)cc(C(F)F)c2)c1,50437810_329908706,-7.17
CSc1cc(SC)cc(-c2cc(C#N)ccc2C(F)F)c1,44835824_329908706,-6.96
CSc1cc(SC)cc(-c2ccnc(C(=O)OCc3ccccc3)c2)c1,73205369_329908706,-7.54
CCOC(=O)CCc1ncccc1-c1cc(SC)cc(SC)c1,64089247_329908706,-6.55
COc1cc2onc(N)c2cc1-c1cc(SC)cc(SC)c1,317753693_329908706,-6.82
CCOc1cc(C(C)(C)C)c(-c2cc(SC)cc(SC)c2)cc1Br,337786564_329908706,-7.05
CSc1cc(SC)cc(-c2ccc(-c3ccc(CC(N)=O)cc3)cc2)c1,313168976_329908706,-7.58
CSc1cc(SC)cc(-c2cnc(OCc3ccccn3)nc2)c1,56749381_329908706,-6.87
CSc1cc(SC)cc(-c2ccccc2-c2nnc(C)o2)c1,11489367_329908706,-7.15
COCCNC(=O)c1cc(F)ccc1-c1cc(SC)cc(SC)c1,29570053_329908706,-6.60
CSc1cc(SC)cc(-c2ccc(C(=O)NCc3ccccc3)c(C(C)C)c2)c1,317686218_329908706,-7.71
CSc1cc(SC)cc(-c2cc(OC(F)(F)F)cc(Br)c2O)c1,48551597_329908706,-6.98
CCC(=O)c1ccc(F)c(-c2cc(SC)cc(SC)c2)c1,714447_329908706,-7.10
CSc1cc(SC)cc(-c2ccc(Cl)c3c(C=O)c[nH]c23)c1,324203122_329908706,-6.96
CCCSc1c(F)cccc1-c1cc(SC)cc(SC)c1,345750093_329908706,-6.81
C#CCOc1c(Cl)cc(C=O)cc1-c1cc(SC)cc(SC)c1,1609511_329908706,-6.24
CSc1cc(SC)cc(-c2cc(F)cc(O)c2C=O)c1,50464645_329908706,-6.58
CSc1cc(SC)cc(-c2cc(-n3ccc(=O)[nH]3)ccc2Cl)c1,259732613_329908706,-7.18
COc1c(-c2cc(SC)cc(SC)c2)ccc2cccnc12,50605142_329908706,-7.16
CSc1cc(SC)cc(-c2c(N)ccc3c2CCC3)c1,50257626_329908706,-6.92
COc1cc(-c2cc(SC)cc(SC)c2)cc(C)n1,44471280_329908706,-6.56
COc1cc(-c2cnco2)ccc1-c1cc(SC)cc(SC)c1,317740666_329908706,-7.17
CSc1cc(SC)cc(-c2cc(C(C)C)ccc2B(O)O)c1,45488460_329908706,-6.83
CSc1cc(SC)cc(-c2cnc3[nH]nc(C=O)c3c2)c1,56975093_329908706,-6.59
CSc1cc(SC)cc(-c2ccc3c(nnn3CCO)c2C)c1,338001832_329908706,-6.61
CSc1cc(SC)cc(-c2ccc(Cn3ccnc3N)cc2)c1,43361860_329908706,-6.90
CCOc1cc(-c2cc(SC)cc(SC)c2)c(Br)c(F)c1OCC,50605066_329908706,-6.81
COC(=O)c1ccc(-c2cc(SC)cc(SC)c2)c[n+]1[O-],316769835_329908706,-6.72
CSc1cc(SC)cc(-c2cc(N)ccc2OCC(=O)NC(C)C)c1,323920797_329908706,-6.69
CNCC(O)c1ccc(-c2cc(SC)cc(SC)c2)cc1,39367808_329908706,-6.59
CSc1cc(SC)cc(-c2cc(C)c(N=C=S)cc2F)c1,23839302_329908706,-6.71
CSc1cc(SC)cc(-c2ccc(CC(C)(C)O)cc2)c1,31707001_329908706,-6.90
CSc1cc(SC)cc(-c2cc(C(F)(F)F)cc(C=O)c2Cl)c1,108082996_329908706,-7.13
COc1cc(OC)cc(-c2cc(SC)cc(SC)c2)c1,522523_329908706,-6.63
CSc1cc(SC)cc(-c2ccc(S(=O)(=O)Nc3ccsc3C(=O)O)cc2)c1,36026377_329908706,-7.73
COc1c(C(=O)O)cc(C)cc1-c1cc(C)cc(Cl)c1F,1102624_49275475,-6.60
Cc1cc(Cl)c(F)c(-c2ccc(C(C)(C)C(N)=O)nc2)c1,331286026_49275475,-6.93
CCOC(=O)CCc1ncccc1-c1cc(C)cc(Cl)c1F,64089247_49275475,-6.45
COc1ccc(-c2[nH]ncc2-c2cc(C)cc(Cl)c2F)cc1,29815088_49275475,-6.85
COc1ccc(Cl)c2nccc(-c3cc(C)cc(Cl)c3F)c12,32454432_49275475,-7.08
C#CCOc1c(Cl)cc(C=O)cc1-c1cc(C)cc(Cl)c1F,1609511_49275475,-6.27
Cc1cc(Cl)c(F)c(-c2cc(C(F)(F)F)cc(C3(N)CC3)c2)c1,313557257_49275475,-7.53
Cc1cc(Cl)c(F)c(-c2cc(F)cc(F)c2C)c1,31262347_49275475,-6.93
COc1cc(S(N)(=O)=O)c(OC)cc1-c1cc(C)cc(Cl)c1F,30305612_49275475,-6.52
Cc1cc(Cl)c(F)c(-c2ccc3c(c2)NC(=O)C32CCN(C(=O)OC(C)(C)C)CC2)c1,46114405_49275475,-7.96
Cc1cc(Cl)c(F)c(-c2ccc(-n3nc(C)c4c(=O)[nH]cnc43)cc2)c1,50002276_49275475,-7.49
Cc1cc(Cl)c(F)c(-c2cc(F)c(F)c3ncsc23)c1,345743380_49275475,-7.21
CSc1nccc(-c2cc(C)cc(Cl)c2F)c1Cl,337930474_49275475,-6.57
