SMILES,Name,Labels
Cc1nn(C(C)C)cc1S(=O)(=O)Nc1cc(-c2cc(Cl)ccc2Cl)[nH]n1,37093672_849610,-7.14
COC(=O)c1cccc(OCC2CCN(S(=O)(=O)c3ccc(S(N)(=O)=O)cc3)CC2)c1,18622833_2868997,-7.43
COC(=O)c1cccc(OCC2CCN(S(=O)(=O)c3cc(S(C)(=O)=O)cs3)CC2)c1,18622833_311646981,-7.31
COC(=O)c1cccc(OCC2CCN(S(=O)(=O)c3c(C)cc(Br)cc3C)CC2)c1,18622833_31411282,-7.20
COC(=O)/C=C\c1n[nH]c(NS(=O)(=O)c2c(Cl)cc(S(F)(F)(F)(F)F)cc2Cl)n1,45985785_49857882,-7.06
COC(=O)/C=C\c1n[nH]c(NS(=O)(=O)c2c(F)cccc2C(=O)OC)n1,45985785_317516299,-6.52
COC(=O)c1cccc(OCC2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4C)CC2)c1,18622833_2872938,-7.52
CCC1(C)CCN(S(=O)(=O)c2ccc3c(c2)CC(=O)N3C)CC1,3724923_2872938,-7.10
CN1C(=O)Cc2cc(S(=O)(=O)N(C)Cc3nc4ccccc4s3)ccc21,36552610_2872938,-7.48
CN1C(=O)Cc2cc(S(=O)(=O)N3C=COC3)ccc21,43451368_2872938,-6.47
CN1C(=O)Cc2cc(S(=O)(=O)Nc3cccc4cnsc34)ccc21,81860536_2872938,-7.36
O=C(O)/C=C/c1ccc(S(=O)(=O)Nc2cc(-c3cc(Cl)ccc3Cl)[nH]n2)cc1,37093672_830621,-7.63
O=C(O)/C=C/c1ccc(S(=O)(=O)NC2(Cc3ccccc3C(F)(F)F)CC2)cc1,313584910_830621,-7.65
CCCC(NS(=O)(=O)c1ccc(/C=C/C(=O)O)cc1)C(=O)N(C)C1CCCCCC1,44464613_830621,-7.05
O=S(=O)(Cc1ccc(F)cc1F)Nc1cc(-c2cc(Cl)ccc2Cl)[nH]n1,37093672_6252193,-7.37
O=S(=O)(Cc1ccc(F)cc1F)NC1(Cc2ccccc2C(F)(F)F)CC1,313584910_6252193,-7.38
COC(=O)/C=C\c1n[nH]c(NS(=O)(=O)c2ccc(/C=C/C(=O)O)cc2)n1,45985785_830621,-6.86
COC(=O)c1cccc(OCC2CCN(S(=O)(=O)c3ccc(/C=C/C(=O)O)cc3)CC2)c1,18622833_830621,-7.21
O=C(O)c1cc(S(=O)(=O)NC2(Cc3ccccc3C(F)(F)F)CC2)c(Cl)cc1F,313584910_11472543,-7.54
O=C(O)/C=C/c1ccc(S(=O)(=O)NC2CCc3c(Cl)cc(Cl)cc32)cc1,49426315_830621,-7.39
COC(=O)/C=C\c1n[nH]c(NS(=O)(=O)Cc2ccc(F)cc2F)n1,45985785_6252193,-6.44
CCCC(NS(=O)(=O)Cc1ccc(F)cc1F)C(=O)N(C)C1CCCCCC1,44464613_6252193,-6.92
CCCC(NS(=O)(=O)Cc1ccc(F)cc1F)c1cccc(F)c1,50123381_6252193,-7.18
COc1c(C)ccc(NS(=O)(=O)Cc2ccc(F)cc2F)c1C,31407426_6252193,-6.65
CCCC(NS(=O)(=O)c1cc(C(=O)O)c(F)cc1Cl)C(=O)N(C)C1CCCCCC1,44464613_11472543,-6.85
COC1(CO)CCCN(S(=O)(=O)Cc2ccc(F)cc2F)C1,84835528_6252193,-6.22
CCCC(NS(=O)(=O)CCc1ccc(F)cc1)C(=O)N(C)C1CCCCCC1,44464613_6249713,-6.89
O=S(=O)(CCc1ccc(F)cc1)N1CCCC(COc2ccccc2Cl)C1,18622672_6249713,-7.27
