SMILES,Name,Labels
O=S(=O)(c1ccccc1)n1ccc2cc(-c3cccn4nc(Br)nc34)ccc21,48580035_45487713,-8.09
O=C1CCCCN1c1ccccc1-c1cc(F)ccc1N1CCCC1=O,45488679_49277149,-8.18
O=C1CCCN1c1ccccc1-c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1,608365_45487713,-8.31
O=C1CCCN1c1ccc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)cc1F,37220816_45487713,-8.33
Nc1nccc(-c2cc(F)ccc2N2CCCC2=O)c1F,45488679_96707097,-7.90
N#Cc1cc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)c2cc[nH]c2n1,29937326_45487713,-7.82
O=C1CCCN1c1ccc(-c2cc(F)ccc2N2CCCC2=O)cc1,45488679_97260183,-7.75
O=C(O)c1c(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)ccn1S(=O)(=O)c1ccccc1,324009120_45487713,-8.02
O=C1CCCN1c1ccc(F)cc1-c1cnc2ccccc2c1,45488679_2796634,-8.22
Cc1ccc(S(=O)(=O)n2cc(-c3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c3cccnc32)cc1,32447545_45487713,-8.62
O=C1CCCN1c1ccc(F)cc1-c1cccc(S(=O)(=O)N2CCCC2)c1,45488679_36367366,-7.91
O=C1CCCN1c1cccc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)c1,11327584_45487713,-8.39
O=C1CCc2cc(-c3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c(F)cc21,56748433_45487713,-8.51
O=C1CCCN1c1ccc(F)cc1-c1ccccc1N1CCNCC1,45488679_313176433,-8.08
CC(C(N)=O)c1ccccc1-c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1,50159219_45487713,-7.82
COc1ccc2nccc(-c3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2n1,36249783_45487713,-7.89
Cn1c(=O)[nH]c(=O)c2ccc(-c3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)cc21,324509832_45487713,-8.45
O=Cc1cc(-c2cc(F)ccc2N2CCCC2=O)co1,45488679_44455193,-7.68
O=S(=O)(c1ccccc1)n1ccc2cc(-c3cccc4c(N5CCNCC5)nccc34)ccc21,276812466_45487713,-8.32
CC(=O)Nc1ccc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)c(C)c1C,550669_45487713,-7.62
CCOc1ccc(-c2cc(F)ccc2N2CCCC2=O)c(C=O)c1Cl,45488679_337730944,-7.65
O=C1CCCN1c1ccc(F)cc1-c1cccc(Br)c1F,45488679_521135,-8.19
O=C1CCCN1c1ccc(F)cc1-c1ccccc1OCc1ccccc1,45488679_524088,-8.34
O=C1CCCN1c1cccc(-c2cc(F)ccc2N2CCCC2=O)c1,45488679_49277171,-7.97
O=C1CCCN1c1ccc(F)cc1-c1cccc(Br)c1OCc1ccc(Cl)cc1,45488679_526633,-8.19
CCOC(=O)c1ccc(-c2cc(F)ccc2N2CCCC2=O)cn1,45488679_53886830,-7.02
O=C1CCCN1c1ccc(F)cc1-c1cncnc1,45488679_821828,-7.74
COc1cc(-c2cc(F)ccc2N2CCCC2=O)c2cc(Br)ccc2c1Br,45488679_64090217,-7.79
Cc1cc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)cnc1N1CCCCC1,30421077_45487713,-7.93
O=C1CCCN1c1ccc(F)cc1-c1cccc(S(=O)(=O)NCc2ccccc2)c1,45488679_2797177,-8.12
Cc1nc(N2CCOCC2)ccc1-c1cc(F)ccc1N1CCCC1=O,45488679_317753199,-7.70
CCCn1ncc2cc(-c3cc(F)ccc3N3CCCC3=O)ccc21,45488679_97283062,-7.96
NC(=O)c1cc(S(=O)(=O)Nc2cccc(-c3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2)ccc1O,2237801_45487713,-8.05
CC(C)(C)OC(=O)Nc1cc(Cl)ncc1-c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1,48579911_45487713,-7.91
N#Cc1cc(-c2ccnc(N)c2F)c2cc[nH]c2n1,29937326_96707097,-7.24
N#Cc1cc(-c2ccccc2N2CCCCC2=O)c2cc[nH]c2n1,29937326_49277149,-7.73
N#Cc1cc(-c2cccc(S(=O)(=O)N3CCCC3)c2)c2cc[nH]c2n1,29937326_36367366,-7.04
N#Cc1cc(-c2cccc(S(=O)(=O)NCc3ccccc3)c2)c2cc[nH]c2n1,29937326_2797177,-7.47
O=C(O)c1n[nH]c2ccc(-c3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c(F)c12,323990958_45487713,-8.63
O=S(=O)(c1ccccc1)n1ccc2cc(-c3cccc(C4CCCCN4)c3)ccc21,48620673_45487713,-8.24
CC(C)n1ccc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)cc1=O,56749975_45487713,-7.68
CCOc1c(C=O)cc(OC)cc1-c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1,313151169_45487713,-7.50
CC(C)(C)Sc1ncc(-c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)cn1,40090255_45487713,-7.45
N#Cc1cc(-c2ccc(N3CCCC3=O)cc2)c2cc[nH]c2n1,29937326_97260183,-7.47
COc1c(C=O)cc(C(C)(C)C)cc1-c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1,337729286_45487713,-7.16
COc1cccc(CO)c1-c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1,49770800_45487713,-7.63
Nc1nccc(-c2cccc(N3CCCC3=O)c2)c1F,11327584_96707097,-7.74
Nc1nccc(-c2ccccc2N2CCCC2=O)c1F,608365_96707097,-7.96
Nc1nccc(-c2cccn3nc(Br)nc23)c1F,48580035_96707097,-7.80
N#Cc1cc(-c2cnc3ccccc3c2)c2cc[nH]c2n1,29937326_2796634,-7.52
N#Cc1cc(-c2cccc(Br)c2F)c2cc[nH]c2n1,29937326_521135,-7.56
COc1ncncc1-c1cc(C#N)nc2[nH]ccc12,29937326_84834989,-7.45
N#Cc1cc(-c2c(Br)ccc(F)c2F)c2cc[nH]c2n1,29937326_525586,-7.61
Cc1c(Cl)ncc(F)c1-c1cc(C#N)nc2[nH]ccc12,29937326_1839290,-7.71
Nc1nccc(-c2ccn(S(=O)(=O)c3ccccc3)c2C(=O)O)c1F,324009120_96707097,-7.61
Cc1ccc(S(=O)(=O)n2cc(-c3ccnc(N)c3F)c3cccnc32)cc1,32447545_96707097,-7.83
N#Cc1cc(-c2ccc(F)cc2F)c2cc[nH]c2n1,29937326_525283,-7.54
Cc1nn(CC(=O)c2ccccc2)c(C)c1-c1ccnc(N)c1F,4915500_96707097,-7.64
COCc1c(-c2ccnc(N)c2F)ccc(C)c1F,337857002_96707097,-7.21
Nc1nccc(-c2ccc(N3CCN(CCO)CC3)nc2)c1F,30421151_96707097,-7.33
COc1ccc2nccc(-c3ccnc(N)c3F)c2n1,36249783_96707097,-7.39
Cc1ccc(-c2cc(C#N)nc3[nH]ccc23)c2ccccc12,29937326_36561583,-7.74
CNC(=O)c1ccc(-c2cc(C#N)nc3[nH]ccc23)cc1C,29937326_67910778,-7.29
Cc1ccc(-c2cc(C#N)nc3[nH]ccc23)c(F)c1,29937326_41481014,-7.33
CCOC(=O)c1cc(C)nn1-c1ccc(-c2ccnc(N)c2F)cc1,49278683_96707097,-7.21
N#Cc1cc(-c2cc(C(=O)O)cc(Cl)c2Cl)c2cc[nH]c2n1,29937326_56975882,-7.63
O=C1CCCN1c1ccccc1-c1cccc(S(=O)(=O)NCc2ccccc2)c1,608365_2797177,-7.99
N#Cc1cc(-c2cnc3c(c2)CCC3)c2cc[nH]c2n1,29937326_50871610,-7.51
O=C1CCCCN1c1ccccc1-c1ccccc1N1CCCC1=O,608365_49277149,-8.15
CC(C)(C)OC(=O)n1cc(-c2cc(C#N)nc3[nH]ccc23)c2cc(F)ccc21,29937326_178508017,-7.66
O=C1CCCN1c1ccc(-c2ccccc2N2CCCC2=O)cc1,608365_97260183,-7.67
COc1cc(-c2cc(C#N)nc3[nH]ccc23)c(F)c(F)c1SC,29937326_330741569,-7.09
CCOC(=O)CC(=O)Cc1ccc(-c2ccnc(N)c2F)cc1,32279523_96707097,-7.00
Nc1nccc(-c2ccc(CNC3CC3)cc2)c1F,7716693_96707097,-7.10
N#Cc1ncccc1-c1ccnc(N)c1F,728871_96707097,-7.39
CC(=O)c1ccc(-c2cc(C#N)nc3[nH]ccc23)cc1F,29937326_50580159,-7.47
O=C1CCCN1c1ccccc1-c1ccccc1N1CCNCC1,608365_313176433,-7.87
Cc1ccc2[nH]cc(-c3ccnc(N)c3F)c2n1,19232288_96707097,-7.76
Cc1cc(-c2ccnc(N)c2F)c(Cl)cc1C(O)c1ccccc1,371193763_96707097,-7.90
Cc1ccc(S(=O)(=O)n2cc(-c3cc(C#N)nc4[nH]ccc34)c3cccnc32)cc1,29937326_32447547,-8.04
CCCOc1cc(-c2cc(C#N)nc3[nH]ccc23)ccc1OC,29937326_30155753,-7.20
N#Cc1cc(-c2cccc3nn[nH]c23)c2cc[nH]c2n1,29937326_275135469,-7.65
N#Cc1cc(-c2ccc(O)cc2Cl)c2cc[nH]c2n1,29937326_44814207,-7.52
Nc1nccc(-c2ccc(CO)c(C(F)F)c2)c1F,336515797_96707097,-7.66
Cc1ccc(-c2ccnc(N)c2F)c(CS(=O)(=O)Cl)c1,50798771_96707097,-6.74
COCCOc1cccc(-c2cc(C#N)nc3[nH]ccc23)c1,29937326_32273985,-7.57
Cc1cc(-c2ccnc(N)c2F)cc(C=O)c1OCc1ccccc1,194336324_96707097,-7.88
Nc1nccc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2C(=O)O)c1F,1247596_96707097,-6.97
COC(=O)c1cc(-c2ccnc(N)c2F)cn2ccnc12,36027257_96707097,-7.39
CNc1ncc(-c2cc(C#N)nc3[nH]ccc23)cn1,29937326_32273176,-7.16
Nc1nccc(-c2cccc(C(O)c3ccccc3)c2)c1F,32443113_96707097,-8.02
Cc1cc(-c2cc(C#N)nc3[nH]ccc23)ccc1O,29937326_46574515,-7.58
N#Cc1cc(-c2ccc(CO)c(OCc3ccccc3)c2)c2cc[nH]c2n1,29937326_49277717,-7.79
CCOc1cc(F)cc(-c2ccnc(N)c2F)c1,30495860_96707097,-7.38
Nc1nccc(-c2cncc(F)c2O)c1F,36367374_96707097,-8.05
CC(C)Oc1ccc(F)c(-c2cc(C#N)nc3[nH]ccc23)c1Br,29937326_331321103,-7.53
COCCOc1c(O)cccc1-c1ccnc(N)c1F,108776819_96707097,-7.65
Cc1ccc(S(=O)(=O)n2cc(-c3ccccc3N3CCCC3=O)c3cccnc32)cc1,608365_32447547,-8.00
CC1(C)OB(c2cc(OCc3ccccc3)cc(-c3ccnc(N)c3F)c2)OC1(C)C,231741657_96707097,-7.90
CNc1ccc(-c2cc(C#N)nc3[nH]ccc23)cc1,29937326_300462333,-7.24
CCNC(=O)c1cc(F)cc(-c2cc(C#N)nc3[nH]ccc23)c1,29937326_2797332,-7.40
O=C1CCCN1c1ccccc1-c1cccc2nn[nH]c12,608365_275135469,-8.31
