SMILES,Name,Labels
NC(=O)c1ccc(Br)cc1-c1cccc2c(=O)[nH]ccc12,31206324_208075236,-6.98
Oc1ccc(F)c(F)c1-c1ccc(Sc2ccccc2F)nc1,38264595_317478978,-7.61
Cc1c(-c2c(O)ccc(F)c2F)ccnc1C#N,50252652_317478978,-6.44
NC(=O)CSc1ccc(-c2c(O)ccc(F)c2F)cc1,1767566_317478978,-6.57
COc1c(-c2c(O)ccc(F)c2F)ccc(C(=O)C(F)(F)Cl)c1F,346003354_317478978,-7.00
CC(C)(C)c1cc(-c2c(O)ccc(F)c2F)ccc1OCc1ccccc1,195884985_317478978,-7.68
COC(=O)[C@@H](N)Cc1cccc(-c2c(O)ccc(F)c2F)c1,189310916_317478978,-6.69
Nc1ncc(-c2c(O)ccc(F)c2F)c(F)c1Br,49854271_317478978,-6.55
C#Cc1cccc(-c2c(O)ccc(F)c2F)c1F,114636978_317478978,-6.72
OB(O)c1ccc(-c2c(O)ccc(F)c2F)c(OCc2ccccc2)c1F,345753207_317478978,-7.65
Oc1ccc(F)c(F)c1-c1ccnc2ccc(C(F)(F)F)cc12,24282081_317478978,-7.54
CNCCc1cccc(-c2c(O)ccc(F)c2F)c1,31654692_317478978,-6.75
Cc1nc(-c2cccc(-c3c(O)ccc(F)c3F)c2)sc1C(=O)O,36763386_317478978,-7.59
C#Cc1cccc(-c2ccncc2C)c1F,114636978_45478599,-6.50
Oc1ccc(F)c(F)c1-c1ccc(Oc2ccccc2)cc1C(F)(F)F,92328795_317478978,-7.85
CC(C)Oc1ncc(C(F)(F)F)cc1-c1ccc(OCc2ccccc2)c(C(C)(C)C)c1,195884985_32273242,-7.46
COCCOc1cc(-c2c(O)ccc(F)c2F)ccc1F,48605017_317478978,-6.31
CCOc1c(CO)cccc1-c1c(O)ccc(F)c1F,38277424_317478978,-6.27
Cc1cc(-c2c(O)ccc(F)c2F)cc(C=O)c1Cl,108078917_317478978,-6.75
Cc1nc(OCc2ccccc2)ccc1-c1c(O)ccc(F)c1F,36370073_317478978,-7.15
COC(=O)c1ccc(OCc2ccc(C)cc2)c(-c2cc(C(F)(F)F)cnc2OC(C)C)c1,49858467_32273242,-7.35
CNCCc1cccc(-c2cc(C(F)(F)F)cnc2OC(C)C)c1,31654692_32273242,-6.80
Cc1cc(C)c(S(=O)(=O)Cl)cc1-c1c(O)ccc(F)c1F,31238786_317478978,-6.88
CCOC(=O)c1cc2c(-c3c(O)ccc(F)c3F)c(OC)ccc2[nH]1,15799681_317478978,-7.00
